CnE8YNEAAAAJ;Witness  Mojeremane;25652621
gqU-0WoAAAAJ;Miguel  Ferrer;3589211,10.2307/1521441,20143193,3505472,3505800,10.2307/2405253,20144148,3677702,2655904,10.2307/3676796,10.2307/3676434,40234832,3548797
fYERgqsAAAAJ;Jake M. Alexander;30244688,20532093,27651026,20532120,41058143,23259753,23267450
OUdB5tgAAAAJ;Shai  Meiri;40306277,3450769,4095388,41240786,23229896,23017054,40996134,30137818,40205738,40801852,40205682,3838548,3554562
00LbgfsAAAAJ;Charles C. Krueger;10.2307/1937207,10.2307/1444683
Sp0Qu-QAAAAJ;Marshall  Weisler;4255343
H4jO_DQAAAAJ;Martin  Hemberg;27651144
T38ci4MAAAAJ;Dana D Miller;29546186
WxcNzyMAAAAJ;Massimo  Terzi;23064934
LC59xbQAAAAJ;Fabio  Crocetta;20107844,20107462,20107422,20107743
zDHHhjwAAAAJ;Michael J. Wiley;10.2307/3544626,10.2307/3545561
cg6Aq0wAAAAJ;Cristina  Tuni;24032760
NpzSdmIAAAAJ;Trine  Bilde;24032760,24033795,3449005,2655970,4221978
vNALUmoAAAAJ;Erik  Gómez-Baggethun;24017353
lqAG7DYAAAAJ;Carola A. Haas;3095233,25512205,24321822,44113158,2386994,24321821,24321594,10.2307/1565241,41415291,40983598
nJgp-ZEAAAAJ;Maartje  Liefting;24033880,40306272
2LLibHQAAAAJ;Jacintha  Ellers;23034886,23597324,3448809,3061666,10.2307/2411256,24033880,40306272,3547236,23434810,3547869
1gH5moUAAAAJ;Asaf  Tsoar;3591219,4539935,3838567,4123815
vJ8uPQcAAAAJ;Jan J. Beukema;27823662
Xgvv_NkAAAAJ;Paul W. Goedhart;27823662,4096627
-0gtXngAAAAJ;David  Augustine;10.2307/2410213
CEgpSCoAAAAJ;Tamara  Münkemüller;41739290,40604233,20143549
hoP5YVAAAAAJ;Pille  Gerhold;41739290,23463843,20143513
VD8lvYMAAAAJ;Lars  Götzenberger;41739290,23436159,43494363
oWwO3yIAAAAJ;Autumn-Lynn  Harrison;3061506
iYHBankAAAAJ;Zofia E. Taranu;40296321
FCQv7nkAAAAJ;Laurent  Lehmann;27743447,30140736,20069139,30142913,4095237,40306237,41460090,23463805
DVftIaYAAAAJ;Marcus W. Feldman;27743447,24033916,25483594,30140739,10.2307/2408132,24033790,10.2307/2410830,10.2307/2409794,10.2307/2409962,2640686,41240824
B8mDM_UAAAAJ;Chancey  Juday;10.2307/1931276,10.2307/1930152,10.2307/1930283
9WWyL3EAAAAJ;Kausalya  Shenoy;41239278
0cAg1MIAAAAJ;John C. Briggs;10.2307/1440064,10.2307/2406630,2387093,10.2307/1440911,1447894,4539952,10.2307/1439771,10.2307/1440958,10.2307/1441332,10.2307/1439992,10.2307/1439358,10.2307/1441801,1448296,1448059,10.2307/1441698,10.2307/1443956,10.2307/1441925,10.2307/1446310,10.2307/1440700,10.2307/2406322,10.2307/1440015,10.2307/1439652,10.2307/1441451,10.2307/1439735,10.2307/1442083,10.2307/1440475,10.2307/1440922,10.2307/1440817,3554851,10.2307/2845239,3838557,3566410,10.2307/2997648,827345,3566323,10.2307/2997803,2656017,2400677
HxS276kAAAAJ;Brian  Dennis;10.2307/1943004,27645998,10.2307/1940552,10.2307/177084,29546184,27650990,10.2307/2937060,10.2307/177435,10.2307/2657219,25741250,20069051,10.2307/2937041,23597330,10.2307/2269594,3450308,27646046,25661086,2647498,3547064,3548035,4220486,27759811,4220690,4220493
hpctKUUAAAAJ;Henry  John-Alder;10.2307/1444888,4222259,30155968
xBd6RGsAAAAJ; Roberto Ibáñez D. ;10.2307/1447249,10.2307/1446909
MG0ebtoAAAAJ;Peter  Schlesinger;2387567,10.2307/2641263
8Dus1uAAAAAJ;Christopher  Potter;2387567,25053877
6wy_SgYAAAAJ;Alberto  Setzer;2387567
uK_2g4IAAAAJ;Ane  Alencar;2387567,41416666
8dAYUAsAAAAJ;Ane  Alencar;41416666
a0ptyMwAAAAJ;John  Connolly;23035090,25173201,2648676,27696000,10.2307/3546530,24124147,40210566,4220086,20062183
RPFECW8AAAAJ;Caroline  Brophy;23035090,24124147
AToVkT0AAAAJ;Laura  Kirwan;23035090,25173201
NoHYdhkAAAAJ;Rosana  Mazzoni;3683293
xWhXLKIAAAAJ;Tomáš  Dostálek;23486789
61PcW6UAAAAJ;Christopher D. Ellis;2387539
QXFA07QAAAAJ;Erica Bree Rosenblum;4098568,4627104,40060553
GAOlOs4AAAAJ;Michael W. Nachman;3449455,4627115,40963493,25483559,40793176,27784019,3449228,27784018,3448838
elMWyMQAAAAJ;Olivier  Beauchard;40863591,20144157,3554635
JB707HMAAAAJ;Henrik  Andren;10.2307/1940455,2655939,10.2307/2404277
yGvnOd0AAAAJ;Adena  Rissman;20440607
oT4WtjsAAAAJ;Colin E. Studds;3451027,23434801
KHbmHmoAAAAJ;Alvaro  Soutullo;20172014,40603357,20446024
jB76m5gAAAAJ;Ireneusz J. Odrzykoski;10.2307/2409588,23674865,20150185,43390661,20149832
kfJnsI0AAAAJ;Joseph D. White;10.2307/2641268,3235883
hBectvIAAAAJ;Robert E. Keane;10.2307/2641268,4493523,43443194,43443011
sc57pUIAAAAJ;Douglas F. Markle;10.2307/1443816,10.2307/1445710,10.2307/1445208,10.2307/1443431,1350577,1448013,10.2307/1446876,10.2307/1446578,10.2307/1444844,1351342,10.2307/1447236,10.2307/3536657,10.2307/3536508,24874461
EhA_iU8AAAAJ;Christoph  Crocoll;41151141
9sy0J7MAAAAJ;Devika  Bajpai;41151141
HLkw17QAAAAJ;Walter E. Meshaka Jr.;24321239,24321379,1448194,24320733,24321402,24320560,24321557,24322279,24321596,24321000,24321469,24321184,24320992,24320675,24321237,24321071,24320671,24320632,24320580,10.2307/1565191
5MZLuxUAAAAJ;John R. Dymond;24060765
Gbp9qiwAAAAJ;Ricardo  González-Pinzón;10.1086/679738,10.1086/677555
kpBUur0AAAAJ;Kamini  Singha;10.1086/679738
lJyNtbMAAAAJ;Roy  Haggerty;10.1086/679738,10.1086/677555,10.1086/680011
6ax5fdcAAAAJ;Olaf A. Cirpka;10.1086/679738
ig_tgQ4AAAAJ;James E. Hines;10.2307/2265854,27651180,10.2307/2640974,25140795,10.2307/2679911,24320639,3450836,23225196,2989858,23213739,27650942,27645949,20069197,3450043,27651247,10.2307/1940216,10.2307/1938822,3879247,10.2307/1941008,23436264,10.2307/176526,10.2307/176597,43494341,3683635,25680365,2693521,3505303,3506027,3505408,3505596,3838592,25623109,10.2307/40166799,10.2307/3676871,40210865,20062259,3548349,40005624,10.2307/3676398,3548392,4219749,3547518
4aMqdX8AAAAJ;Edward L Webb;41479955
OG5WezAAAAAJ;Emili  García-Berthou;29779651,40604247,3696905,40061960,10.2307/3546440,40213154
yHJHAisAAAAJ;C. Scott Baker;1383915,24817567,24874567,24870997,24871107,24868614,24855733
eipxvEwAAAAJ;Michael M. Hansen;10.2307/2410816,10.2307/3061063,3838424
L8R--2sAAAAJ;Michael K. Schwartz;2641546,10.2307/2641002,25592862,3061283,10.2307/176522,41417100,4094405,4498736,1383621
wHKAMIsAAAAJ;Robert S. Voss;10.2307/2410040,10.2307/2409338,4094429
mq20LGsAAAAJ;John M. Fryxell;3450924,27646070,27645951,10.2307/3071906,10.2307/177077,3450241,3450242,2693426,3548015,40309598,3547199,10.2307/3545163,20050922,4223496,4221110,10.2307/3545464
fo5_Q54AAAAJ;Yit Arn Teh;41505872,24130038
-6t6ADwAAAAJ;Oliver  Sonnentag;41505872,23501437
Mw84b5sAAAAJ;Matteo  Detto;41505872,41505862
wVMGB1YAAAAJ;Maggi  Kelly;41505872,40603422,10.2307/3868165,4096674,40305421,41425613
fLXCUREAAAAJ;Michael W. Beck;3588989,25595117,10.2307/2265908,4220163,24829253,10.2307/3546293,2401044
xQPHyagAAAAJ;Matthew J. Kauffman;41723018,40061789,24432270,23436142,10.2307/3071851,23436148,23017200
sP7IbXcAAAAJ;Arthur D. Middleton;41723018,23436142,40419666,23436148
9RWPiTkAAAAJ;Jarrett  Barber;41723018
iU6EMCkAAAAJ;Jozef  Keulartz;20440558
b-bUTO0AAAAJ;Henny J. van der Windt;20440558
7RRlVvsAAAAJ;John M. Bates;2673284,4627102,3677595,10.2307/40157529,10.2307/40157537
Q25QoZAAAAAJ;Terrence C. Demos;2673284,24032865
ytiS5AcAAAAJ;Donald A. Jackson;3450140,10.1086/675811,10.2307/1939574,41507775,10.2307/2266070,30243276,10.2307/1938206,4539931,40792527,27639296,10.1086/673934,41319683,44252806,41499884,4222907,20173022,4222966,3547214,4223071,40235303
eU6CiPQAAAAJ;Greg  Dwyer;10.2307/3061081,10.2307/1940754,10.2307/2265669,10.2307/2937196,2680282,10.2307/1940933,10.2307/1943014,10.2307/5477,4539209
Cl2llP8AAAAJ;Francis F. Kilkenny;23464139,40213160
Clb74XkAAAAJ;Johan S. Eklöf;23253686,41505997,23011127
H5jydeEAAAAJ;Charles R. Peterson;41416677,3658929,3893400,3893456,10.2307/1565333,30156215,20628122,20444939,10.2307/3536823,30161219,30164316
D-tUnx8AAAAJ;Erik T. Lang;23273251
27y92WQAAAAJ;Karen A. Bjorndal;25592778,2386872,25140663,1448243,10.2307/2641306,10.2307/1446101,10.2307/1445664,10.2307/1446668,10.2307/177116,3107933,10.2307/1941097,10.2307/1446800,10.2307/1446534,10.2307/1444535,10.2307/1444917,10.2307/1444530,10.2307/1444767,10.2307/1445373,10.2307/1446647,10.2307/1446507,2386826,10.2307/1447698,4543354,3892160,4092911,3893411,4092883,10.2307/1565709,10.2307/1565096,3892906,30137892,1549917,3892584,10.2307/1564345,4092871,30158557,24033532,30163699,30158172,24869887,4218869,24875318,24866409,30160632,30152642,10.1086/666902,24854582
h7RgKqcAAAAJ;John  Lussenhop;10.2307/1936995,10.2307/1935579,10.2307/1936400,10.2307/3898403,10.2307/3544549,10.2307/3566050,4250833
fSTyolMAAAAJ;Sebastian  Wolf;41505962
z5bOh_QAAAAJ;J. Jaime Zúñiga-Vega;25592740,25140636,40060518,40060458,24634294,40602603,40235222
_1pIHHMAAAAJ;Kim  Hill;2387361,4602768,4602838,4602728,4603350,4602769,4602880
U3w9qZoAAAAJ;Jonathan  Padwe;2387361
1Eu8U98AAAAJ;Jonathan  Padwe;2387361
WTOyViUAAAAJ;David  Foster;20440887,4620996,23435988,10.2307/2963522
Nd58MnUAAAAJ;Peter  Groffman;20440887,10.2307/3868382,4223789
yatwUGkAAAAJ;Diane E. Pataki;20440887,23021617,41416626,23696025,24366816,4222964,40213223
Q6LkV4MAAAAJ;Jonn  Axsen;43187793
H0YirVRIFBkC;Rachael  Shwom;43187793
jl2_ARkAAAAJ;Donald J. Stewart;10.2307/1445433,1448048,10.2307/1444947,10.2307/2680197,10.2307/1447650,10.2307/1444845,10.2307/1444900,41827117,40962964
Kgi5kPAAAAAJ;Patricia  Davidson;43443167
BjO8kXQAAAAJ;Steven I. Higgins;23143889,10.2307/2641242,27651211,25680409,23435957,10.2307/2265699,41310239,20143549,30137900,20143509,4125121,3599527,827154,20050439,20050598,3547987
SyVQIK4AAAAJ;Dominik  Refardt;27784073
sQEObzEAAAAJ;Paul B. Rainey;27784073,24032736
hX7X5ioAAAAJ;Dustin  Brisson;23262003,3449989,40863339
218JfNoAAAAJ;Jordi  Moya-Laraño;30244679,10.2307/2680019,3061579,20143292,3547781,41489038
NTmKvM8AAAAJ;Sofia  Gamito;20105579
KZbnF6IAAAAJ;Rainer  Schultze-Kraft;44241939,23216085
jO9Lc-EAAAAJ;Santiago  Claramunt;23261924,40793091,41240881
UjKYWIAAAAAJ;Adam  Baker;23261924
XpyI2wYAAAAJ;Alexandre  Aleixo;23261924,2405127
Cuqxp5wAAAAJ;László  Papp;43461211,10.2307/3546107
qJoiaNwAAAAJ;Albert David Ditchfield;3591053,4094360
gj_bH3cAAAAJ;Amber L. Pitt;23273241
qXkFULIAAAAJ;Beria  Leimona;29738735
cnOtIM4AAAAJ;Paul J. Ferraro;29738735,3061318
hJ_AnJ4AAAAJ;Kirsten M. Parris;4493574,29779667,20183562,25599234,3838387,3893088,3505708,1383338
X9sqLtcAAAAJ;Giorgos  Catsadorakis;10.2307/1521964
Oi0x2rUAAAAJ;John P. McCarty;20696309,4221832,40006408
nul2diEAAAAJ;Olof  Hellgren;3449387
cLv15mgAAAAJ;Ian P.F. Owens;41465307
0PF103gAAAAJ;Eric L. Berlow;10.2307/176904,10.2307/2963465,10.2307/2937163,27651516,4134720,3505669,25173167,10.2307/4004006
X2pZpy0AAAAJ;R. Fredrik Inglis;23273885
uCCY8E4AAAAJ;Edward A. Birge;10.2307/1930152
TaYr9pMAAAAJ;Jani  Heino;3683846,30243213,20532088,4134700,40061805,10.1086/681623,3505677,1468478,2656161,3566291,41058825,23434633,40309618
cJmm5NgAAAAJ;Norma Hilgert;4256430
LBNwHc4AAAAJ;Guillermo Schmeda-Hirschmann;4256430,4256177,4255606,4255638
iGWKUVwAAAAJ;Miles R. Silman;41151203,10.2307/3071854,20440741,10.2307/177247,10.2307/2680219,41242850,3107898,25622898,4092134,20870131,25654291,4091890,40005574
vyXrisMAAAAJ;Lars-Anders  Hansson;10.2307/177381,27651323,10.2307/1938735,3450360,40296354,3450580,3450316,3658756,29779616,3450683,3547228,10.2307/3545201,4221450,4222440,40235452,3546400,40235255,4220350,10.2307/3546018,10.2307/3545470,10.2307/3547054
5fHeakAAAAAJ;Michael C. Blumm;24112537,24113285,24113435,24113111
D3J-xSMAAAAJ;Hadas  Hawlena;3683477,20445881,20062492,40213111
UPYalhQAAAAJ;Farrah  Bashey;10.2307/1447290,40235459
i3VZCkgAAAAJ;Philipp  Heeb;10.2307/5782,30244835,3677782,3677657,40926437,40310192
BYmt6AYAAAAJ;Michael  Turelli;3449464,10.2307/2411143,27743505,4095321,2640499,10.2307/2408456,10.2307/2409017,4095417,10.2307/2408923,25150888,10.2307/2410135,10.2307/2410450,4218810
neFuNkAAAAAJ;Neil  Cumberlidge;20088740,20104672,20107558,20105790,20104673,20104456,10.2307/1548798,4094216,10.2307/1548778,10.2307/1549111
2GntAQEAAAAJ;George  Sugihara;10.2307/2641172,23436292,2647217,2647348,10.2307/4535,4221773
xso285oAAAAJ;Andrea  Cutini;43461185
sfmQy84AAAAJ;Kirk S. Zigler;3448780,41503475,3449219,3449147
zF-hjCQAAAAJ;Michael G. Fox;1448635,10.2307/1939439,40005663
_4LWug4AAAAJ;Zhiyao  Tang;3868880,30244659,3868883,3696887,3868879,3697541,25164075
8K7YrOwAAAAJ;John W. Wilson;41722884,30133709
1xgB49QAAAAJ;Daniel  Kuefler;41722884,30243143,3450045,20183475,25661137
ei4kq-0AAAAJ;D. Ross Robertson;20172049,10.2307/2265509,2640516,10.2307/1940435,10.2307/1445655,3450621,10.2307/1445390,10.2307/1444306,10.2307/1938320,4125135,24847604,4216237,4221392,24872915,4221018,24832731,4223286,24873097
BOgckzgAAAAJ;Giampaolo  Rossetti;25470379
V_EPdvYAAAAJ;Miguel Ângelo Marini;3591052,3591089
C-V09uwAAAAJ;Dean E Pearson;20696457
vW0ADNoAAAAJ;Stephen M Hovick;20696457
tRfX-ckAAAAJ;Walter P Carson;20696457
qBv7ThkAAAAJ;Sandra Bibiana Correa;23597284
rzAlpLkAAAAJ;Nancy L. Shackell;4543450,41416763,24870994,10.2307/3858522
YLvoyooAAAAJ;Jaroslaw  Burczyk;3449191,43558584
LeSdvwwAAAAJ;Igor J. Chybicki;3449191,43558584
mXTtg2sAAAAJ;Duncan  Greig;40963462,25150839
SV1uuq0AAAAJ;Laura T. Johnson;23253741,41416759,40792525
dmKjTFwAAAAJ;Laura G. Leff;23253741,10.1899/11-066.1,10.2307/1467647,10.2307/1467830,4499045,10.2307/1467267,10.2307/1467967,25256206,25153328,41489061,4251250
fLKTb6EAAAAJ;Eric P. Palkovacs;27650982,27650716,3548056
qXYTq4gAAAAJ;David M. Post;27650982,27650902,3107938,29779644,10.2307/177129,27651065,27650716,27650856,27646117,27650762,10.2307/3071875,40309651,40210664,40213044
e42x5qUAAAAJ;John R. Poulsen;10.2307/2680134,23143938,4091979,3068616,newphytologist.198.1.252
tnJ9ZX0AAAAJ;Tomoyuki  Komai;27743343,20105021,20107570,20107910,20105451,10.2307/1549469,1549670,10.2307/1549560,1549499,40927853,20487840,10.2307/1549196
1CNJm5UAAAAJ;Subhash R. Lele;29779532,27650990,25661059,20069332,27646046,3505955
R4Ezk9gAAAAJ;Sébastien  Lion;40664003
khJpzikAAAAJ;Battal  Ciplak;20107521,25473435
PVOBSYsAAAAJ;Alfredo  Ruiz;10.2307/2410173,10.2307/2410485,10.2307/2410929,3448855,10.2307/2411044,10.2307/4775
LHaufk4AAAAJ;Antonio  Fontdevila;10.2307/2410173,10.2307/2407786
EPY5iLsAAAAJ;Vincent A. Cobb;1448578,25599213
9R6vJQoAAAAJ;Jeffrey M. Leis;10.2307/1446309,10.2307/1444356,23273213,41319653,24872064,24866594,24844843,24868089
F-1IigIAAAAJ;Natalia Hanazaki;4493654,4603435
SF-viFoAAAAJ;Roberto E. Reis;10.2307/1447557,25140808,4098646,41827084,4098570,24637198,1448054,40962960,10.2307/1447263,10.2307/1447715,4098705,10.2307/1446554,10.2307/1446545,1448567,25622926,1448014
OcqEJEgAAAAJ;Vicky  Tzioumis;10.2307/1447480
lw73c08AAAAJ;Andrew M Liebhold;41480673
cqxRnLgAAAAJ;Jennifer L Parke;41480673
NdRZvDsAAAAJ;Arild  Husby;40793177,41465345,23464129,3838405
gHVqN9kAAAAJ;Guillem  Chust;3683367,3838611
YLOEa-cAAAAJ;Mark L. Taper;4620919,10.2307/2409853,2386644,27650990,10.2307/1940935,10.2307/2937041,4543511,10.2307/2408816,3450308,27646046,25661086,10.2307/1940385,30224523,4220911,4220456,4220690,10.2307/3545706,4217861
hfmsUc8AAAAJ;L. Scott Mills;4620919,3061219,4134705,2387110,10.2307/1941720,2386405,2641696,10.2307/2641002,3061396,27755073,10.2307/1382240,23487458,30224523,27759811,27759757
-1U0ws4AAAAJ; Andrés Lira-Noriega ;4539910
1f6Py1AAAAAJ;Yoshinori  Nakazawa;4539910,41058224
u8OOTDoAAAAJ;Peter L. Ralph;24032743
oQaVrTIAAAAJ;Angelika  Brandt;24851828
WnNnkZgAAAAJ;Simon C. Beeching;1447942,10.2307/1447100,40863436
2ZdTUA4AAAAJ;Christopher M. Taylor;10.2307/1446875,2641705,10.2307/2680234,10.2307/1446844,25623000,40060527,4221646
IYFZXkUAAAAJ;Menno  Schilthuizen;3591085,4095424,10.2307/2410470,4499144,40731394
wi0rpUwAAAAJ;Thor-Seng  Liew;3591085,4095424,40731394
uOrZVJ8AAAAJ;Diego  Giraldo-Cañas;23641813,23230247,23641237,23641527,43406022,23641543,41971741,41971861,41971740,3393402
FrZ2Cr8AAAAJ;Adam S Davis;29546189
kIdQKAIAAAAJ;S  Raghu;29546189
SUAqa68AAAAJ;Petr  Keil;40205528,24432193,25661002,3696926
omKZWU8AAAAJ;Bruce D. Patterson;10.2307/2407941,10.2307/2408345,2673396,2673329,2386017,10.2307/1380435,1383391,10.2307/1381627,10.2307/1381091,10.2307/1383284,10.2307/1381803,10.2307/2845481,10.2307/1379839,2846100,24575391,20870000,10.2307/1380362,10.2307/1381555,10.2307/1380665,10.2307/1381670,4499085,25172940,4221818,10.2307/3545143,4220548,10.2307/3503866
jii1BdYAAAAJ;Kevin C. Rose;25661119
tXrKcmIAAAAJ;Mark H. Olson;40061802,4221480
r3UAAuMAAAAJ;Jason R. Graham;24321925
cpI0DlkAAAAJ;Elizabeth L. Bennett;3061205,2641825,4620885,20183362,2641829
gZ3vBTAAAAAJ;Yngvild  Vindenes;27784071,41151242
YdGZIJcAAAAJ;Aline Magdalena Lee;27784071
QuygsrkAAAAJ;Steinar  Engen;27784071,40062121,10.2307/3072094,10.2307/1941428,27650799,3450142,27646128,10.2307/3061152,10.2307/2266129,4124703,10.2307/2680036,4627004,30243236,24033930,3450664,41151242,27696384,4539133,2693462,40405842,3505440,41058803,3505527,20143263,20143272,3505439,40310178,10.2307/3546853,10.2307/3544706,10.2307/3545746,40235361,10.2307/3546848,10.2307/3546856,41686256,3548602,3547915,3548752,10.2307/3565840
pw8uYDEAAAAJ;Jennifer K. Frey;30243214,20532086,10.2307/1381864,4126896,4640586,10.2307/3504072,10.2307/3504201,41413452
pI9icWEAAAAJ;Dietmar  Straile;10.2307/3100027,10.2307/177141,23596980,40732016,4222513,40309829,40309733,41500010,40210568
OTidOmQAAAAJ;Paolo  Guidetti;3589009,40419657,41480670,40061714,40213103,24873489,24870944
debN35MAAAAJ;Simonetta  Fraschetti;3589009,40062039,25790517,3838359,24871141,24870669,24872965
rJiiwLkAAAAJ;Antonio  Terlizzi;3589009,20532115,25790517,3838359,24871141,24870669,24872965
Syro5DUAAAAJ;Ferdinando  Boero;3589009,25790517,4540202,3838359,24864165,24870669,40605859
YUDFEN0AAAAJ;Joachim  Mergeay;23143885,27651469
U2rvgmUAAAAJ;Jeremy R. Dettman;3448725,3448726,10.2307/3761989,20444720,20444737
IFkoJ6QAAAAJ;Hidetoshi  Ota;10.2307/1446860,10.2307/1445379,10.2307/1446813,25140797,10.2307/1447794,10.2307/1445482,10.2307/1446048,10.2307/1445485,1448025,10.2307/1446682,10.2307/1446598,10.2307/1564776,3892217,3893150,10.2307/1564066,10.2307/1564630,10.2307/1565549,3892670,10.2307/1565281,10.2307/1566034,10.2307/1564316,10.2307/1564700,10.2307/1565154,10.2307/1566192,10.2307/1565332,3893398,10.2307/1564452,10.2307/1565084,10.2307/1564641,10.2307/1565344,10.2307/1564320,10.2307/1565622,3892959,10.2307/1565529,3892834,3892926
2zyWsS0AAAAJ;Spyros  Sfenthourakis;3683230,20532077,20104789,3838610,20143325,2846057,10.2307/2997397,3697623,10.2307/2997804
T1t5tQgAAAAJ;Veronika A. Johansson;23065008
pMwLebwAAAAJ;Daniel  Montoya;30243209,27651088,27651314,40405770
JpOvHTYAAAAJ;Peter Z. Fulé;43443040,41151172,4543465,43440449,3566362,4123832,827362,20050584
yIGb5zsAAAAJ;Simon P. Lailvaux;41416605,41317034,40664011,40205539,40407775,4540149
74DI3acAAAAJ;Louis S. Kornicker;20101640,20102983,20102459,20107627,10.2307/1930248,10.2307/1933296,1303086,1300963,1549659,1549842,1549176,1549814,1300220,1549950,1549687,10.2307/1549367,1301362,10.2307/1484143,10.2307/1484821,10.2307/1484200,10.2307/1484155,10.2307/1484607,10.2307/1484255
6yVnzUMAAAAJ;Glenn R. Almany;3450445,3450009,40210702,40213021,24870903,40005753,3548112
3xSrHRcAAAAJ;Fanny  Vogelweith;41319620
87uU0mQAAAAJ;Yannick  Moret;41319620,23273912,41332024,40309824,40235691
fF2VPpEAAAAJ;Peder  Anker;3986114,3658685,25473066
qvV5wUEAAAAJ;Leiming  Zhang;41505869
LxJMsf8AAAAJ;Jesse B. Nippert;23213717,43494792,25680466,43494492,24370209,40540166,40210862,41499913,20146906,41499801
ObPhUcQAAAAJ;M.  Hockings;2641698
ILOraT8AAAAJ;Michelle D. Boone;10.2307/3061155,1448071,2641661,1448490,40061994,4134699,20183356,4092928,10.2307/1565949,40983653,25599185,23327184,4223804,4223115
52Zoz-wAAAAJ;Karl  Grieshop;24033695
wtp_JswAAAAJ;Tinde van Andel;4256362
KjqUEb4AAAAJ;Kaiguang  Zhao;43187893
08MxPVAAAAAJ;Hisashi  Ohtsuki;40963486
vz29hAgAAAAJ;Steve A. Johnson;2386872,41827090,24321435,24320998,24321600,3589188,25599238,10.2307/1565180
6qF7vGkAAAAJ;Rudolf  Meier;3094700,23463859,3589226
a4Qp7oMAAAAJ;Bram  Vanschoenwinkel;23597216,10.1899/12.157.1,40296270,30244613,09-114,40235173
_7IuV9MAAAAJ;Falko  Buschke;23597216
B-XURzIAAAAJ;Luc  Brendonck;23597216,10.1899/12.157.1,20104641,40296270,30244613,10.2307/1548972,09-114,10.2307/1548971,10.2307/1549468,10.2307/1548412,4222649,20062142,40235173
vsnd9g8AAAAJ;Darryl I. MacKenzie;27651044,10.2307/3071800,3450043,10.2307/3072056,25680365,3505861,20870032,24060696,24060735,24060877
sYnFZ4AAAAAJ;Scott P. Sowa;27646091,40062015
Cj0pBIEAAAAJ;Hendrik  Müller;4092963
WljIQvQAAAAJ;Rui  Freitas;20107592
PySbfcEAAAAJ;Rasmus  Nielsen;4627107,2640472
pqQULuQAAAAJ;Betsie B. Rothermel;4493572,3879137,4493668,27695986,4092852,4223115
KBSM2VIAAAAJ;Asko  Noormets;27823670,3658991
fv8umPcAAAAJ;Jiquan  Chen;27823670,3658981,10.2307/2641207,3095360,3659000,10.2307/2641401,3658982,3658986,3591067,3658988,41505965,3658991,2387109,3658989,20146901,20146619
9locSucAAAAJ;Paul  Stapp;3868712,2989844,27651589,1383473,4126872,40925628,827209,24575401,10.2307/1382216,10.2307/1383055,27696430,10.2307/1382519,10.2307/1382256,40662632,3547864,4223535
Bj1Ln-IAAAAJ;Sonia  Graham;3868712
zb1iVAEAAAAJ;Mike  Letnic;3868712,41417124,40062013,23259821,23259899,41058248,24033430,4222317
M8tYwOoAAAAJ;Mauricio  Lima;3868712,25592707,27651343,27650797,4539184,10.2307/1382951,2693460,41480363,10.2307/1382619,24867492,40235625,3547397,10.2307/3546500,3547664,4221324,3548721,4221986
6C6j7FsAAAAJ;Peter L. Meserve;3868712,3450204,10.2307/2265662,10.2307/1940935,25592707,10.2307/1383268,25145049,10.2307/1379903,10.2307/1382471,10.2307/1381549,10.2307/3038168,10.2307/1380003,10.2307/2845151,30224512,10.2307/3573,10.2307/1381627,10.2307/4134,10.2307/1381803,10.2307/1379414,10.2307/2845291,23259895,10.2307/1380646,10.2307/1379012,23259900,10.2307/1380707,10.2307/1383256,10.2307/1381670,10.2307/2845149,10.2307/1379690,10.2307/1380568,4220450,3548323,10.2307/3546502,10.2307/3546498
9qJGd8YAAAAJ;M. Andrea Previtali;3868712,25661083,25592707,25145049,23259900
LjzLgPkAAAAJ;Graciela  Piñeiro;10.2307/1446862,4524777
0Oc-LUkAAAAJ;Shin-ichiro S Matsuzaki;41811853
Qr9mxD4AAAAJ;Huijie  Gan;23596826
L4-RcxYAAAAJ;Riccardo  Bommarco;4539056,27646159,10.2307/176714,23023116,10.2307/2641271,41416647,20869978,10.2307/3546999,23260134,10.2307/3546088,3548049
E4z42voAAAAJ;Sarah Elmendorf;4539056
KXeh3m0AAAAJ;William J. Etges;10.2307/2410767,10.2307/2409367,10.2307/2410042,10.2307/1445554,10.2307/2408716,2647415,30160004
_WPGvuQAAAAJ;Jane E. Williamson;3450177,20446033,24827058
EhnSAyoAAAAJ;Rocky  de Nys;3450177,20446033,24872836,24874254,24855613,3548532
hstmwfIAAAAJ;Yaowu  Xing;24033640
bvN5cz8AAAAJ;Tanja  Stadler;24033640,23261938
Tlm978oAAAAJ;Carlos  Barata;10.2307/3060962,10.2307/2846072
oEwtH8oAAAAJ;Donald J. Baird;10.2307/3060962,10.1086/676912,10-013,10-154,40210901
